ImageFile,AnimateInanimate,ValenceScore,Rand,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_5.started,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Images/Dog 2.jpg,1,5.9348,0.12716869989062418,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,24.05429424997419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.5192636670544744,23.526714582927525,None,23.526714582927525,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Gun 4.jpg,2,2.9016,0.7697741972871771,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,24.921611916972324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.358760750037618,24.546979749924503,None,24.546979749924503,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Couple 8.jpg,1,5.7678,0.251731948819934,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,25.906826582970098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.4675537080038339,25.419091249932535,None,25.419091249932535,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Bridge 1.jpg,2,5.9383,0.9690828349581032,,,,,,,,,0,6,6,10,,,,,,,,,,,,,,,26.82042820798233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3905531670898199,26.408362624933943,None,26.408362624933943,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Galaxy 2.jpg,2,5.7867,0.11173582871170518,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,27.716656041913666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3666302498895675,27.326278332970105,None,27.326278332970105,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Gun 6.jpg,2,2.9016,0.8898260865812544,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,28.502283124951646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.26855533302295953,28.217230457928963,None,28.217230457928963,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Dead bodies 2.jpg,1,1.2275,0.24789711922878843,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,29.25128812494222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.23078349989373237,29.01021962496452,None,29.01021962496452,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Lake 12.jpg,2,6.4088,0.8081144939639223,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,30.115728957927786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.35603595909196883,29.74984066700563,None,29.74984066700563,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Lake 2.jpg,2,6.3635,0.9852323328940595,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,30.948847666964866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3098702080314979,30.62473587493878,None,30.62473587493878,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
Images/Car Accident 3.jpg,2,2.7945,0.4099838468273278,,,,,,,,,0,12,12,18,,,,,,,,,,,,,,,31.75226479198318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.2903175000101328,31.447104166960344,None,31.447104166960344,None,,,,,,,,,,,,,,,,001,2022_Jun_03_1501,psychopy,2021.2.3,None,
