nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,button_resp.stopped,text_8.started,key_resp_13.started,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Office supplies 4.jpg,2,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,49.70106859999942,50.206691300001694,,,,,,,,,,,,,,,,,49.366929800016806,49.366929800016806,0.003145599999697879,2,1,0.3036722000106238,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.33248350000940263,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Sidewalk 3.jpg,2,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,50.533462899998995,51.03337270001066,,,,,,,,,,,,,,,,,50.206691300001694,50.206691300001694,0.009453699982259423,2,1,0.29529720000573434,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.31827690001227893,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Storage 1.jpg,2,,,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,51.33403480000561,51.834193500020774,,,,,,,,,,,,,,,,,51.03337270001066,51.03337270001066,0.0012713999894913286,2,1,0.2697276000108104,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.29985740000847727,,,,,,,,,,,,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Miserable pose 1.jpg,1,2.579,0.9842937974063046,0,0,0,0,0,0,0,0,,,,,0,0,0,13,,,,,,,,,58.20052380001289,58.70041830002447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834193500020774,51.834193500020774,space,5.3072061999992,57.196992400015006,57.196992400015006,57.196992400015006,1,1,0.9852483000140637,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Bird 3.jpg,1,6.0495,0.1352931607121708,0,0,0,0,0,0,0,0,,,,,0,1,1,9,,,,,,,,,60.86665310000535,61.36748540002736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70041830002447,58.70041830002447,58.70041830002447,1,1,2.1380941000243183,None,60.700642800016794,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Birthday 3.jpg,2,5.5506,0.46285993459803654,0,0,0,0,0,0,0,0,,,,,0,2,2,1,,,,,,,,,61.43365910000284,61.93409850000171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.36748540002736,61.36748540002736,61.36748540002736,2,1,0.046441399987088516,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Sidewalk 6.jpg,2,2.7978,0.6052913211298454,0,0,0,0,0,0,0,0,,,,,0,3,3,19,,,,,,,,,62.167275900021195,62.66680100001395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.93409850000171,61.93409850000171,61.93409850000171,1,0,0.20777009997982532,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Yarn 1.jpg,2,2.5645,0.6029614127731355,0,0,0,0,0,0,0,0,,,,,0,4,4,8,,,,,,,,,62.850146200013114,63.365818500024034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66680100001395,62.66680100001395,62.66680100001395,2,1,0.1553993999841623,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Sad pose 1.jpg,1,2.8801,0.568733967121452,0,0,0,0,0,0,0,0,,,,,0,5,5,11,,,,,,,,,63.96737570001278,64.46936820002156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.365818500024034,63.365818500024034,63.365818500024034,2,0,0.5840091000136454,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
1,0,Images/Police 5.jpg,1,2.4345,0.07517344267112913,0,0,0,0,0,0,0,0,,,,,0,6,6,3,,,,,,,,,64.75036280002678,65.25105730001815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.46936820002156,64.46936820002156,64.46936820002156,2,0,0.2645148000156041,None,,,,1,001,A,2022-10-21_18h35.16.481,psychopy,2022.2.4,60.06738358653476,
