trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,dots.started,dots.stopped,grating.started,noise.started,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,joystick.x_,joystick.y_,joystick.t_,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,16.2215651999868,16.739796699985163,16.739796699985163,16.739796699985163,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.5629020999767818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5468519999994896, 0.5767975999915507, 0.595451699977275, 0.6128398999862839, 0.6297381999902427, 0.6464575999998488, 0.6638415999768768, 0.6804505999898538, 0.6971376999863423, 0.7137760999903549, 0.7305275999824516, 0.7471918999799527, 0.7637630999961402, 0.7806028999912087, 0.7971773000026587, 0.8137647999974433, 0.8304354999854695, 0.8471466999908444, 0.8637467999942601, 0.8804317000031006, 0.8971596999908797, 0.9138157999841496, 0.9304751000017859, 0.9471125999989454, 0.9638816999795381, 0.9804684999980964, 0.9970833999977913, 1.0138812999939546, 1.0304840999888256, 1.0474747999978717, 1.0637810000043828, 1.0805366999993566, 1.097126099979505, 1.1137824000034016, 1.1305318999802694, 1.1476440999831539, 1.1638030000030994, 1.1795678999915253, 1.196304599987343, 1.2128596999973524, 1.2299378000025172, 1.2463911999948323, 1.2630610000051092, 1.280128499987768, 1.2970216999819968, 1.3135968999995384, 1.3302834999922197, 1.346887699997751, 1.3636269999842625, 1.3803105999832042, 1.3968632000032812, 1.4136865999898873, 1.430314900004305, 1.4469405999989249, 1.4635858999972697, 1.4802646999887656, 1.496996699977899, 1.513539799983846, 1.5301629999885336, 1.5463963999936823]",,001,2022-10-21_19h17.39.521,untitled,2022.2.4,60.14277895919972,
1,0,1,0,17.742869100009557,,18.242841400002362,18.242841400002362,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.064431999984663,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5468519999994896, 0.5767975999915507, 0.595451699977275, 0.6128398999862839, 0.6297381999902427, 0.6464575999998488, 0.6638415999768768, 0.6804505999898538, 0.6971376999863423, 0.7137760999903549, 0.7305275999824516, 0.7471918999799527, 0.7637630999961402, 0.7806028999912087, 0.7971773000026587, 0.8137647999974433, 0.8304354999854695, 0.8471466999908444, 0.8637467999942601, 0.8804317000031006, 0.8971596999908797, 0.9138157999841496, 0.9304751000017859, 0.9471125999989454, 0.9638816999795381, 0.9804684999980964, 0.9970833999977913, 1.0138812999939546, 1.0304840999888256, 1.0474747999978717, 1.0637810000043828, 1.0805366999993566, 1.097126099979505, 1.1137824000034016, 1.1305318999802694, 1.1476440999831539, 1.1638030000030994, 1.1795678999915253, 1.196304599987343, 1.2128596999973524, 1.2299378000025172, 1.2463911999948323, 1.2630610000051092, 1.280128499987768, 1.2970216999819968, 1.3135968999995384, 1.3302834999922197, 1.346887699997751, 1.3636269999842625, 1.3803105999832042, 1.3968632000032812, 1.4136865999898873, 1.430314900004305, 1.4469405999989249, 1.4635858999972697, 1.4802646999887656, 1.496996699977899, 1.513539799983846, 1.5301629999885336, 1.5463963999936823, 2.0629603999841493, 2.0798098999948706, 2.0965699999942444, 2.1138614999945275, 2.1304915999935474, 2.147187499998836, 2.163827599986689, 2.1804367000004277, 2.1971123999974225, 2.212887400004547, 2.2296826999809127, 2.246364299993729, 2.2630512999894563, 2.28000400000019, 2.296781299985014, 2.313391599978786, 2.3300768999906722, 2.346785200003069, 2.363432299986016, 2.3800701999862213, 2.396770599996671, 2.4134857000026386, 2.4301397999806795, 2.4467312999768183, 2.4634610999783035, 2.480016399989836, 2.496700799994869, 2.513391899992712, 2.5300733000040054, 2.5467886999831535, 2.563382399996044, 2.5801720999879763, 2.596770899981493, 2.613421099988045, 2.629694599978393, 2.646469100000104, 2.663068399997428, 2.6797487000003457, 2.696469199989224, 2.7130943999800365, 2.729819600004703, 2.7466798999812454, 2.7630113000050187, 2.779820700001437, 2.7965252999856602, 2.812915799993789, 2.829566500004148, 2.8462732000043616, 2.863017800002126, 2.8797324000042863, 2.896869299991522, 2.9140855000005104, 2.9308733999787364, 2.9476509999949485, 2.9642869999806862, 2.9807218999776524, 2.9975360999815166, 3.0141654000035487, 3.030818300001556, 3.0474162999889813]",,001,2022-10-21_19h17.39.521,untitled,2022.2.4,60.14277895919972,
2,0,2,0,19.2439946999948,,19.742757900006836,19.742757900006836,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.563392699987162,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5468519999994896, 0.5767975999915507, 0.595451699977275, 0.6128398999862839, 0.6297381999902427, 0.6464575999998488, 0.6638415999768768, 0.6804505999898538, 0.6971376999863423, 0.7137760999903549, 0.7305275999824516, 0.7471918999799527, 0.7637630999961402, 0.7806028999912087, 0.7971773000026587, 0.8137647999974433, 0.8304354999854695, 0.8471466999908444, 0.8637467999942601, 0.8804317000031006, 0.8971596999908797, 0.9138157999841496, 0.9304751000017859, 0.9471125999989454, 0.9638816999795381, 0.9804684999980964, 0.9970833999977913, 1.0138812999939546, 1.0304840999888256, 1.0474747999978717, 1.0637810000043828, 1.0805366999993566, 1.097126099979505, 1.1137824000034016, 1.1305318999802694, 1.1476440999831539, 1.1638030000030994, 1.1795678999915253, 1.196304599987343, 1.2128596999973524, 1.2299378000025172, 1.2463911999948323, 1.2630610000051092, 1.280128499987768, 1.2970216999819968, 1.3135968999995384, 1.3302834999922197, 1.346887699997751, 1.3636269999842625, 1.3803105999832042, 1.3968632000032812, 1.4136865999898873, 1.430314900004305, 1.4469405999989249, 1.4635858999972697, 1.4802646999887656, 1.496996699977899, 1.513539799983846, 1.5301629999885336, 1.5463963999936823, 2.0629603999841493, 2.0798098999948706, 2.0965699999942444, 2.1138614999945275, 2.1304915999935474, 2.147187499998836, 2.163827599986689, 2.1804367000004277, 2.1971123999974225, 2.212887400004547, 2.2296826999809127, 2.246364299993729, 2.2630512999894563, 2.28000400000019, 2.296781299985014, 2.313391599978786, 2.3300768999906722, 2.346785200003069, 2.363432299986016, 2.3800701999862213, 2.396770599996671, 2.4134857000026386, 2.4301397999806795, 2.4467312999768183, 2.4634610999783035, 2.480016399989836, 2.496700799994869, 2.513391899992712, 2.5300733000040054, 2.5467886999831535, 2.563382399996044, 2.5801720999879763, 2.596770899981493, 2.613421099988045, 2.629694599978393, 2.646469100000104, 2.663068399997428, 2.6797487000003457, 2.696469199989224, 2.7130943999800365, 2.729819600004703, 2.7466798999812454, 2.7630113000050187, 2.779820700001437, 2.7965252999856602, 2.812915799993789, 2.829566500004148, 2.8462732000043616, 2.863017800002126, 2.8797324000042863, 2.896869299991522, 2.9140855000005104, 2.9308733999787364, 2.9476509999949485, 2.9642869999806862, 2.9807218999776524, 2.9975360999815166, 3.0141654000035487, 3.030818300001556, 3.0474162999889813, 3.5631442999874707, 3.579727799980901, 3.5964643000042997, 3.613098500005435, 3.6299733000050765, 3.64669789999607, 3.6633379999839235, 3.6799956999893766, 3.6966299999912735, 3.7133393999829423, 3.7299935999908485, 3.7466206999961287, 3.7634054999798536, 3.7800731000024825, 3.7966583999805152, 3.813326799980132, 3.8300252000044566, 3.8466380999889225, 3.863295699993614, 3.880017699993914, 3.8966956999793183, 3.913291000004392, 3.9299942999787163, 3.946660299989162, 3.9633290999918245, 3.979976499977056, 3.996674299996812, 4.013345499988645, 4.030041699996218, 4.046650699980091, 4.06328949998715, 4.0800287000020035, 4.0966598999802954, 4.113301699981093, 4.130021599994507, 4.146688299981179, 4.163331599993398, 4.179956499981927, 4.196698799991282, 4.213313299987931, 4.230069799988996, 4.2466915999830235, 4.26336069998797, 4.279973199998494, 4.29661180000403, 4.313359299994772, 4.3299810999887995, 4.346626699989429, 4.363335999980336, 4.380031199980294, 4.396629399998346, 4.41336649999721, 4.430000799999107, 4.446626199991442, 4.463352799997665, 4.479994599998463, 4.496660899982089, 4.513338199991267, 4.5300527999934275, 4.546697899990249]",,001,2022-10-21_19h17.39.521,untitled,2022.2.4,60.14277895919972,
