nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsOriginal.thisRepN,trialsOriginal.thisTrialN,trialsOriginal.thisN,trialsOriginal.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,button_resp.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Storage 1.jpg,2,,,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,24.06311829999322,24.56343179999385,,,,,,,,,,,,,,,,,23.798944899986964,23.798944899986964,0.0073908000194933265,1,0,0.2435888000181876,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.2566371999855619,,,,,,,,,,,,,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,Images/Lion 1.jpg,1,,,0,0,0,0,0,0,0,0,0,7,7,2,,,,,,,,,24.89614519997849,25.396539899986237,,,,,,,,,,,,,,,,,24.56343179999385,24.56343179999385,0.002513600018573925,1,1,0.3024255000054836,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.32731459999922663,,,,,,,,,,,,,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,Images/Dog 12.jpg,1,,,0,0,0,0,0,0,0,0,0,8,8,4,,,,,,,,,25.64683289997629,,,,,,,,,,,,,,,,,,25.396539899986237,25.396539899986237,0.003915200009942055,1,1,0.23031000001356006,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.24548630000208504,,,,,,,,,,,,,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,Images/Sidewalk 3.jpg,2,,,0,0,0,0,0,0,0,0,0,9,9,8,,,,,,,,,26.47997449999093,26.97904049998033,,,,,,,,,,,,,,,,,26.162726699985797,26.162726699985797,0.014090800017584115,1,0,0.2955262000032235,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.3171462999889627,,,,,,,,,,,,,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,0,0,60,,,,,30.813476799987257,31.31237489997875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.97904049998033,26.97904049998033,space,1.6468652999901678,28.662556999974186,28.662556999974186,28.662556999974186,30.66333229999873,1,0,2.1330497000017203,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,1,1,33,,,,,32.22934879999957,32.729039199999534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.31237489997875,31.31237489997875,31.31237489997875,,1,0,0.88992089999374,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,2,2,36,,,,,32.89668749997509,33.40021049999632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.729039199999534,32.729039199999534,32.729039199999534,,2,0,0.14614569998229854,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,Images/Intensity 1.jpg,1,2.8252,0.36804645311705486,0,0,0,0,0,0,0,0,,,,,0,3,3,16,,,,,33.546718199999304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.40021049999632,33.40021049999632,33.40021049999632,,2,0,0.12135929998476058,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,4,4,68,,,,,37.52983049998875,38.02954889999819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.06271959998412,34.06271959998412,34.06271959998412,36.062316600000486,1,0,3.4509778000065126,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,5,5,51,,,,,38.27945439997711,38.77951019999455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.02954889999819,38.02954889999819,38.02954889999819,,1,0,0.22952679998707026,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,6,6,58,,,,,40.94579639998847,41.44626469997456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77951019999455,38.77951019999455,38.77951019999455,40.779549499973655,2,0,2.134772300021723,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,7,7,57,,,,,41.52993249997962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.44626469997456,41.44626469997456,41.44626469997456,,1,0,0.05237799999304116,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
1,0,None,None,None,None,0,0,0,0,0,0,0,0,,,,,0,8,8,71,,,,,42.21311039998545,42.71309949998977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.029675300000235,42.029675300000235,42.029675300000235,,1,0,0.15580869998666458,None,0,001,A,2022-10-21_18h39.32.415,psychopy,2022.2.4,59.55330258373471,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71309949998977,42.71309949998977,42.71309949998977,,,,,,,,,,,,,
