nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsReversed.thisRepN,trialsReversed.thisTrialN,trialsReversed.thisN,trialsReversed.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsOriginal.thisRepN,trialsOriginal.thisTrialN,trialsOriginal.thisN,trialsOriginal.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,text_9.started,key_resp_15.started,key_resp_15.keys,key_resp_15.rt,key_resp_16.started,image_6.started,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,image_2.stopped,key_resp_9.stopped,button_resp.stopped,key_resp_20.started,text_3.started,key_resp_20.keys,key_resp_20.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Gun 10.jpg,2,2.5934,0.8397215898320197,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,44,44,6,,,,,359.5641392999969,360.0671029999794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.9634415000037,358.9634415000037,358.9634415000037,1,0,0.5801758000161499,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Neonazi 1.jpg,1,2.0577,0.4286272595660632,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,45,45,66,,,,,360.26339149998967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0671029999794,360.0671029999794,360.0671029999794,1,1,0.17987140000332147,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Destruction 10.jpg,2,2.0682,0.33267433135769797,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,46,46,9,,,,,361.48074339999584,361.98033199997735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.76373979999335,360.76373979999335,360.76373979999335,1,0,0.6846029000007547,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Yarn 1.jpg,2,2.5645,0.1548831621525235,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,47,47,68,,,,,362.39739239998744,362.898154399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.98033199997735,361.98033199997735,361.98033199997735,1,0,0.3870928999967873,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Sad pose 1.jpg,1,2.8801,0.9379640962640362,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,48,48,71,,,,,363.1144006999966,363.6134669999883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.898154399998,362.898154399998,362.898154399998,1,1,0.18895080001675524,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Cat 5.jpg,1,6.1842,0.2993849771344371,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,49,49,4,,,,,363.7804310999927,364.28157279998413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.6134669999883,363.6134669999883,363.6134669999883,1,1,0.14622469997266307,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Jail 5.jpg,2,3.0599,0.07486446158300541,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,50,50,7,,,,,364.4806772999873,364.98096119999536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.28157279998413,364.28157279998413,364.28157279998413,1,0,0.18270320000010543,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Miserable pose 1.jpg,1,2.579,0.41254038389301795,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,51,51,73,,,,,365.2806432999787,365.7958208999771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.98096119999536,364.98096119999536,364.98096119999536,1,1,0.27499710000120103,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Car Accident 3.jpg,2,2.7945,0.7732278009857427,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,52,52,58,,,,,366.0970192999812,366.59741909999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.7958208999771,365.7958208999771,365.7958208999771,1,0,0.2830791999876965,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Miserable pose 4.jpg,1,2.5702,0.4458257869062262,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,53,53,32,,,,,366.93056519998936,367.4320804000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.59741909999866,366.59741909999866,366.59741909999866,1,1,0.31424979999428615,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Cat 4.jpg,1,5.798,0.06333628944787684,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,54,54,38,,,,,367.99716289999196,368.4967092000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.4320804000017,367.4320804000017,367.4320804000017,1,1,0.544068100018194,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Excited face 2.jpg,1,5.8009,0.7619008012508488,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,55,55,34,,,,,369.0806364000018,369.5812146999815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.4967092000006,368.4967092000006,368.4967092000006,1,1,0.5667395999771543,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Lake 10.jpg,2,6.125,0.9853027217264094,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,56,56,44,,,,,370.5810653999797,371.08007719999296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.5812146999815,369.5812146999815,369.5812146999815,None,0,,None,370.5810653999797,370.5810653999797,370.5810653999797,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Dancing 7.jpg,1,5.8813,0.6297471826735491,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,57,57,33,,,,,371.3470186999766,371.84975979998126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.08007719999296,371.08007719999296,371.08007719999296,1,1,0.23948489999747835,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Lake 12.jpg,2,6.4088,0.5730295514381429,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,58,58,57,,,,,372.4641228999826,372.9634846999834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.84975979998126,371.84975979998126,371.84975979998126,1,0,0.5900100000144448,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Dog 19.jpg,1,5.9814,0.7804812252252693,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,59,59,11,,,,,373.29688079998596,373.7972177999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.9634846999834,372.9634846999834,372.9634846999834,1,1,0.30737489997409284,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Beach 2.jpg,2,6.2944,0.9767776457796615,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,60,60,39,,,,,374.19737549999263,374.69669270000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.7972177999909,373.7972177999909,373.7972177999909,1,0,0.37087650000466965,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Jail 2.jpg,2,1.9691,0.03156789597965182,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,61,61,64,,,,,375.09717520000413,375.5989845999866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.69669270000304,374.69669270000304,374.69669270000304,1,0,0.3826038999832235,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Picnic 1.jpg,1,6.0998,0.013197503905397312,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,62,62,70,,,,,375.6639118999883,376.1655752999941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.5989845999866,375.5989845999866,375.5989845999866,1,1,0.04109690000768751,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Wedding 6.jpg,1,6.0481,0.4733426449134829,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,63,63,31,,,,,376.38018219999503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.1655752999941,376.1655752999941,376.1655752999941,1,1,0.1950508000154514,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Explosion 4.jpg,2,2.4912,0.7741769511985449,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,64,64,78,,,,,377.11383349998505,377.61558139999397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.89605609999853,376.89605609999853,376.89605609999853,1,0,0.19952379999449477,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Dog 2.jpg,1,5.9348,0.1385016610476738,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,65,65,54,,,,,377.8807361999934,378.3800614999782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.61558139999397,377.61558139999397,377.61558139999397,1,1,0.23987339998711832,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Explosion 1.jpg,2,2.7061,0.09556197736042626,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,66,66,77,,,,,378.66401320000296,379.16529989999253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.3800614999782,378.3800614999782,378.3800614999782,1,0,0.26024009997490793,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/War 8.jpg,1,1.7473,0.10290094730872323,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,67,67,12,,,,,379.5472298999957,380.0505931999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.16529989999253,379.16529989999253,379.16529989999253,1,1,0.3539187000133097,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Dirt 1.jpg,2,1.6168,0.6695803900912131,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,68,68,0,,,,,380.46395279999706,380.96444310000516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0505931999942,380.0505931999942,380.0505931999942,1,0,0.3964777000073809,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Wedding 4.jpg,2,5.8256,0.09293607626529377,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,69,69,19,,,,,381.297118699993,381.7987524999771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.96444310000516,380.96444310000516,380.96444310000516,1,0,0.3072356999909971,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Destruction 5.jpg,2,2.1143,0.6225236117358539,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,70,70,1,,,,,382.1804792000039,382.68078309998964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.7987524999771,381.7987524999771,381.7987524999771,1,0,0.36048120001214556,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Flowers 7.jpg,2,5.7452,0.4154522113949739,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,71,71,14,,,,,383.1469197999977,383.66261349999695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.68078309998964,382.68078309998964,382.68078309998964,1,0,0.4390349999885075,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Flowers 1.jpg,2,5.8142,0.5470930681193592,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,72,72,25,,,,,384.0969550999871,384.59847649998846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.66261349999695,383.66261349999695,383.66261349999695,1,0,0.41665139998076484,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Angry face 3.jpg,1,2.5188,0.21834471638364283,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,73,73,27,,,,,384.9641608999809,385.4641055999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.59847649998846,384.59847649998846,384.59847649998846,1,1,0.33754909998970106,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Baby 5.jpg,1,6.1553,0.31383362377021096,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,74,74,29,,,,,385.9638817999803,386.46404669998446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.4641055999964,385.4641055999964,385.4641055999964,1,1,0.47991099997307174,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Bird 1.jpg,1,5.9051,0.992895090151792,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,75,75,15,,,,,387.31466329999967,387.8140024000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.46404669998446,386.46404669998446,386.46404669998446,1,1,0.8237155999813695,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Garbage dump 3.jpg,2,2.0219,0.5707894112816823,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,76,76,52,,,,,388.06380509998417,388.5644893999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8140024000022,387.8140024000022,387.8140024000022,1,0,0.23341939999954775,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Flowers 6.jpg,2,5.9556,0.12977858521545838,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,77,77,41,,,,,389.0638540999789,389.5634704999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.5644893999852,388.5644893999852,388.5644893999852,1,0,0.46800559997791424,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Miserable pose 5.jpg,1,2.9754,0.5707540209244515,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,78,78,59,,,,,389.8804952999926,390.3815006999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.5634704999975,389.5634704999975,389.5634704999975,1,1,0.29262870000093244,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,Images/Gun 4.jpg,2,2.9016,0.1467485923469446,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,79,79,55,,,,,390.563430899987,391.0635276999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.3815006999939,390.3815006999939,390.3815006999939,1,0,0.15398150001419708,None,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
1,0,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.0635276999965,391.0635276999965,space,2.1210313999908976,,001,A,2022-10-21_18h57.52.159,psychopy,2022.2.4,59.56128349262603,
