nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,text_9.started,text_9.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_6.started,image_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_8.started,image_8.stopped,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,image_9.started,image_9.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
0,1,Images/Couple 8.jpg,2,5.7678,0.2950874497117757,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,9,9,8,,,,,,,,,,,38.14709575008601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.25654733390547335,37.87697062501684,None,37.87697062501684,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Garbage dump 3.jpg,1,2.0219,0.350393201470347,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,10,10,12,,,,,,,,,,,38.84915970801376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.18840145808644593,38.647041207994334,None,38.647041207994334,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Lake 2.jpg,1,6.3635,0.6280847881706122,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,11,11,6,,,,,,,,,,,39.60454829200171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.24127537501044571,39.34829904208891,None,39.34829904208891,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Lake 12.jpg,1,6.4088,0.434259541522947,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,12,12,17,,,,,,,,,,,40.387423792039044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.26921900000888854,40.10354975005612,None,40.10354975005612,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Hangover 1.jpg,2,2.3921,0.5202939654083889,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,13,13,5,,,,,,,,,,,41.12216679204721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.20966508297715336,40.88956795807462,None,40.88956795807462,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Dead bodies 2.jpg,2,1.2275,0.1919382765632477,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,14,14,13,,,,,,,,,,,41.86859816708602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.2157556670717895,41.63805066701025,None,41.63805066701025,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Dog 2.jpg,2,5.9348,0.8224751356721797,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,15,15,14,,,,,,,,,,,42.646332500036806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.2600167079363018,42.37368329206947,None,42.37368329206947,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Gun 6.jpg,1,2.9016,0.5624552116796375,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,16,16,2,,,,,,,,,,,43.33740637509618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.18021879205480218,43.14600908302236,None,43.14600908302236,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Lake 10.jpg,1,6.125,0.5595361608030758,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,17,17,4,,,,,,,,,,,44.10975916706957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.26073704205919057,43.83912695804611,None,43.83912695804611,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Flowers 6.jpg,1,5.9556,0.947680247901311,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,18,18,1,,,,,,,,,,,44.868433792027645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2361037920927629,44.61178512510378,None,44.61178512510378,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Miserable pose 5.jpg,2,2.9754,0.8891439707630439,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,45.85195775004104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.4678310420131311,45.37193829205353,None,45.37193829205353,None,,,,,,,,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Fireworks 2.jpg,1,6.277,0.6055150196406405,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,1,,,,,,,47.86526491702534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34547329205088,None,space,1.0687308750348166,46.34547329205088,None,,,,,,,,1,1,0.40260287502314895,47.45020870806184,None,47.45020870806184,None,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Beach 2.jpg,1,6.2944,0.9995304220425305,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,19,,,,,,,48.627099375007674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2417853749357164,48.36477016704157,None,48.36477016704157,None,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Angry face 3.jpg,2,2.5188,0.9422085734809273,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,7,,,,,,,49.31615612504538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.164335084031336,49.132148625096306,None,49.132148625096306,None,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
0,1,Images/Wedding 6.jpg,2,6.0481,0.12578285099061193,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,11,,,,,,,50.10021358309314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.27539233409333974,49.81225025001913,None,49.81225025001913,None,1,001,A,2022_Jun_08_2302,psychopy,2021.2.3,None,
