ImageFile,AnimateInanimate,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,ValenceScore,Rand,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,0.787448792019859,6.493602375034243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,6.493602375034243,None,7.288123207981698,None,space,0.3488938750233501,7.77948066603858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,8.150859041023068,None,,,,,7.77948066603858,None,space,0.2411529169185087,8.648960208054632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.648960208054632,None,space,0.43539737502578646,8.903415833017789,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,9.34483704098966,None,,,,,,,,,,,,,,,,,8.903415833017789,None,9.83791104098782,None,space,0.3817858330439776,9.83791104098782,None,,,,,,,,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Goat 1.jpg,1,0,0,0,0,,,,,,,,,,,,,11.389704125002027,None,,,,,,,,,,,,,,,,,,,,,,,,,10.264742915984243,None,1,1,1.111807583947666,10.264742915984243,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Happy face 2.jpg,1,0,1,1,1,,,,,,,,,,,,,12.120329916011542,None,,,,,,,,,,,,,,,,,,,,,,,,,11.887568125035614,None,1,1,0.2167941250372678,11.887568125035614,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Lion 1.jpg,1,0,2,2,2,,,,,,,,,,,,,12.757713000057265,None,,,,,,,,,,,,,,,,,,,,,,,,,12.623874332988635,None,1,1,0.12189141695853323,12.623874332988635,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Monkey 1.jpg,1,0,3,3,3,,,,,,,,,,,,,13.291159415966831,None,,,,,,,,,,,,,,,,,,,,,,,,,13.260225208010525,None,1,1,0.014897707966156304,13.260225208010525,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Dog 12.jpg,1,0,4,4,4,,,,,,,,,,,,,13.83254166599363,None,,,,,,,,,,,,,,,,,,,,,,,,,13.7924030830618,None,1,1,0.028656415990553796,13.7924030830618,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Gun 5.jpg,2,0,5,5,5,,,,,,,,,,,,,14.378332125023007,None,,,,,,,,,,,,,,,,,,,,,,,,,14.331736374995671,None,1,0,0.02722737507428974,14.331736374995671,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Money 1.jpg,2,0,6,6,6,,,,,,,,,,,,,15.149394541047513,None,,,,,,,,,,,,,,,,,,,,,,,,,14.881282957969233,None,1,0,0.2546757080126554,14.881282957969233,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Office supplies 4.jpg,2,0,7,7,7,,,,,,,,,,,,,15.70421937503852,None,,,,,,,,,,,,,,,,,,,,,,,,,15.648135125054978,None,1,0,0.042373209027573466,15.648135125054978,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Sidewalk 3.jpg,2,0,8,8,8,,,,,,,,,,,,,16.30753754102625,None,,,,,,,,,,,,,,,,,,,,,,,,,16.206756124971434,None,1,0,0.08803383295889944,16.206756124971434,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
Images/Storage 1.jpg,2,0,9,9,9,,,,,,,,,,,,,17.046075250022113,None,,,,,,,,,,,,,,,,,,,,,,,,,16.817763415980153,None,1,0,0.2136560829821974,16.817763415980153,None,,,,,,,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.542430790956132,None,space,1.0851530829677358,17.542430790956132,None,,001,2022_Jun_03_1445,psychopy,2021.2.3,None,
