nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsOriginal.thisRepN,trialsOriginal.thisTrialN,trialsOriginal.thisN,trialsOriginal.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,key_resp_7.keys,key_resp_7.corr,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,key_resp_7.rt,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,button_resp.keys,joystick_4.x,joystick_4.y,joystick_4.button_0,joystick_4.button_1,joystick_4.button_2,joystick_4.button_3,joystick_4.button_4,joystick_4.button_5,joystick_4.button_6,joystick_4.button_7,joystick_4.button_8,joystick_4.button_9,joystick_4.button_10,joystick_4.time,key_resp_9.rt,image_2.stopped,key_resp_9.stopped,button_resp.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Storage 1.jpg,2,,,0,0,0,0,0,0,0,0,0,6,6,9,,,,,,,,,21.168730699981097,21.684306599985575,,,,,,,,,,,,,,,,,20.606084400002146,20.606084400002146,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12.353998199978378,0.5317016000044532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Happy face 2.jpg,1,,,0,0,0,0,0,0,0,0,0,7,7,1,,,,,,,,,22.103047699987656,22.60656069999095,,,,,,,,,,,,,,,,,21.684306599985575,21.684306599985575,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,13.287116199993761,0.38958719998481683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Money 1.jpg,2,,,0,0,0,0,0,0,0,0,0,8,8,6,,,,,,,,,23.16858199998387,23.668517199985217,,,,,,,,,,,,,,,,,22.60656069999095,22.60656069999095,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,14.353841399977682,0.5312592999835033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Dog 12.jpg,1,,,0,0,0,0,0,0,0,0,0,9,9,4,,,,,,,,,24.30242319998797,24.802074499981245,,,,,,,,,,,,,,,,,23.668517199985217,23.668517199985217,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.488802299980307,0.6143020000017714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Frustrated pose 1.jpg,1,2.3937,0.7929639094339582,0,0,0,0,0,0,0,0,,,,,0,0,0,3,,,,,26.60257499999716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.802074499981245,24.802074499981245,space,0.7610699000069872,25.599637999985134,25.599637999985134,25.599637999985134,None,0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17.721374299988383,,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Garbage dump 3.jpg,2,2.0219,0.5707894112816823,0,0,0,0,0,0,0,0,,,,,0,1,1,52,,,,,27.68533340000431,28.187864499981515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.10412649999489,27.10412649999489,27.10412649999489,2,1,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,18.803615399985574,0.5622169999987818,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Galaxy 2.jpg,2,5.7867,0.871390129257127,0,0,0,0,0,0,0,0,,,,,0,2,2,51,,,,,28.718768999999156,29.21856039998238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.187864499981515,28.187864499981515,28.187864499981515,2,1,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,19.83686859998852,0.502221799979452,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Flowers 6.jpg,2,5.9556,0.12977858521545838,0,0,0,0,0,0,0,0,,,,,0,3,3,41,,,,,30.235786899982486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.21856039998238,29.21856039998238,29.21856039998238,None,0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,21.353479199984577,,30.21913559999666,30.21913559999666,30.21913559999666,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Miserable pose 5.jpg,1,2.9754,0.5707540209244515,0,0,0,0,0,0,0,0,,,,,0,4,4,59,,,,,31.619111100008013,32.11863369998173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.735706799983745,30.735706799983745,30.735706799983745,1,1,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,22.73797689998173,0.8587802999827545,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
1,0,Images/Excited face 2.jpg,1,5.8009,0.7619008012508488,0,0,0,0,0,0,0,0,,,,,0,5,5,34,,,,,32.70211549999658,33.2023094999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.11863369998173,32.11863369998173,32.11863369998173,1,1,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,23.820050599984825,0.5653235999925528,,,,,001,A,2022-10-21_19h43.47.102,psychopy,2022.2.4,60.00758496060822,
