trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating.started,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,joystick.x_,joystick.y_,joystick.t_,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.041231399867684,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0554137001745403,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.047597500029951334, 0.07289949990808964, 0.08830010006204247, 0.10499479994177818, 0.1216567000374198, 0.1383966002613306, 0.1549857002682984, 0.17170820012688637, 0.18833950022235513, 0.20480220019817352, 0.2209701002575457, 0.23769830027595162, 0.2544758999720216, 0.27118710009381175, 0.28819889994338155, 0.30486360006034374, 0.3214410999789834, 0.3382391002960503, 0.3548205001279712, 0.37150940019637346, 0.38807750027626753, 0.40469150012359023, 0.42104260018095374, 0.4381321002729237, 0.4553396999835968, 0.47203890001401305, 0.4885553000494838, 0.5052436999976635, 0.5220305998809636, 0.5386745003052056, 0.5552841001190245, 0.5719651998952031, 0.5886142998933792, 0.6052137003280222, 0.6219192002899945, 0.638667699880898, 0.655277700163424, 0.6718685002997518, 0.6889188000932336, 0.7053640000522137, 0.7218774002976716, 0.7388792000710964, 0.7553158001974225, 0.7719286000356078, 0.7885624002665281, 0.8053415999747813, 0.8219333998858929, 0.8385495003312826, 0.8553546001203358, 0.8718632999807596, 0.8885734002105892, 0.9051962001249194, 0.9219555999152362, 0.9385776999406517, 0.9552891002967954, 0.9719463000074029, 0.9886058000847697, 1.0052176001481712, 1.0219449000433087, 1.0386697999201715]",550667,001,2022-10-18_18h56.54.260,untitled,2022.2.4,59.45826383919902,
1,0,1,0,10.040092699695379,0.49523460746166176,0.06746776531624321,0,0,0,0,0,0,0,0,0,0,0,2.0551310000009835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019055466544594425, -0.04376287479972536, -0.1312642099641413, -0.2000152590218967, -0.2687663080796521, -0.38126802471961546, -0.5312458991378652, -0.712498664835584, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.7437491416800184, -0.5499961852445259, -0.35001754787518125, -0.14376440070191504, 0.10160067139696345, 0.2730144197756923, 0.4381048294804304]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05860227359426262, -0.09375906004425116, -0.1093842984664683, -0.14844739452201117, -0.14844739452201117, -0.1562600137331197, -0.1562600137331197, -0.1171969176775769, -0.06641489280537116, -0.05860227359426262, 0.003974975204089404, 0.08333714808880754, 0.11905851834897385, 0.13096055542839702, 0.13096055542839702, 0.13096055542839702, 0.10317387655451282, 0.09523918516823071, 0.08333714808880754, 0.07540245670252532, 0.06746776531624321]","[0.047597500029951334, 0.07289949990808964, 0.08830010006204247, 0.10499479994177818, 0.1216567000374198, 0.1383966002613306, 0.1549857002682984, 0.17170820012688637, 0.18833950022235513, 0.20480220019817352, 0.2209701002575457, 0.23769830027595162, 0.2544758999720216, 0.27118710009381175, 0.28819889994338155, 0.30486360006034374, 0.3214410999789834, 0.3382391002960503, 0.3548205001279712, 0.37150940019637346, 0.38807750027626753, 0.40469150012359023, 0.42104260018095374, 0.4381321002729237, 0.4553396999835968, 0.47203890001401305, 0.4885553000494838, 0.5052436999976635, 0.5220305998809636, 0.5386745003052056, 0.5552841001190245, 0.5719651998952031, 0.5886142998933792, 0.6052137003280222, 0.6219192002899945, 0.638667699880898, 0.655277700163424, 0.6718685002997518, 0.6889188000932336, 0.7053640000522137, 0.7218774002976716, 0.7388792000710964, 0.7553158001974225, 0.7719286000356078, 0.7885624002665281, 0.8053415999747813, 0.8219333998858929, 0.8385495003312826, 0.8553546001203358, 0.8718632999807596, 0.8885734002105892, 0.9051962001249194, 0.9219555999152362, 0.9385776999406517, 0.9552891002967954, 0.9719463000074029, 0.9886058000847697, 1.0052176001481712, 1.0219449000433087, 1.0386697999201715, 1.0615043002180755, 1.0719265001825988, 1.0885560000315309, 1.1054414003156126, 1.1211016001179814, 1.1377214998938143, 1.1545293000526726, 1.1713944002985954, 1.187950000166893, 1.2044150000438094, 1.2211275002919137, 1.2378652999177575, 1.2543787001632154, 1.271103700157255, 1.2876003002747893, 1.3042414002120495, 1.320847500115633, 1.3376378999091685, 1.354423000011593, 1.3712630001828074, 1.3886318001896143, 1.4049881999380887, 1.4209839003160596, 1.4377154000103474, 1.4546555001288652, 1.4713771999813616, 1.4879614003002644, 1.5047320001758635, 1.5215253001078963, 1.5382055002264678, 1.5549126002006233, 1.5715112001635134, 1.5881576999090612, 1.6048306999728084, 1.6215341002680361, 1.6382245002314448, 1.6548199001699686, 1.6715437001548707, 1.6882195002399385, 1.7048038002103567, 1.7215523002669215, 1.7382121998816729, 1.754772299900651, 1.7715890002436936, 1.7881451002322137, 1.8048447999171913, 1.8216631999239326, 1.8378872000612319, 1.854376600123942, 1.8709720000624657, 1.8878414002247155, 1.9044480002485216, 1.9209529999643564, 1.93752419995144, 1.9541692999191582, 1.9710405999794602, 1.987677900120616, 2.0047595999203622, 2.021674800198525, 2.038304000161588]",550667,001,2022-10-18_18h56.54.260,untitled,2022.2.4,59.45826383919902,
2,0,2,0,11.040000799577683,0.10160067139696345,-0.48437476157778286,0,0,0,0,0,0,0,0,0,0,0,3.054919300135225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019055466544594425, -0.04376287479972536, -0.1312642099641413, -0.2000152590218967, -0.2687663080796521, -0.38126802471961546, -0.5312458991378652, -0.712498664835584, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.7437491416800184, -0.5499961852445259, -0.35001754787518125, -0.14376440070191504, 0.10160067139696345, 0.2730144197756923, 0.4381048294804304, 0.49523460746166176, 0.49523460746166176, 0.4127138170443274, 0.3301686121919586, 0.19049362935835817, 0.05079423208972305, -0.18751506828412304, -0.3687678339818418, -0.5062455176623178, -0.6312474250400549, -0.712498664835584, -0.7312489509422446, -0.674998092622263, -0.5187457084000916, -0.35001754787518125, -0.18751506828412304, 0.019055466544594425, 0.21588464179446093, 0.3682551308461127, 0.425409323262379, 0.425409323262379, 0.2857343404287786, 0.10160067139696345, -0.2562661173418784, -0.587496757457847, -0.8, -0.8, -0.8, -0.8, -0.756249332417792, -0.6062470435645075, -0.3937682154573892, -0.2000152590218967, 0.10160067139696345, 0.3682551308461127, 0.5523887998779279, 0.6920637827115282, 0.717454795147631, 0.6222140840772106, 0.5206500343327992, 0.3301686121919586, 0.10160067139696345, -0.11251392385748078, -0.3250171663996338, -0.4749950408178836, -0.6312474250400549, -0.7312489509422446, -0.7874998092622264, -0.8, -0.7437491416800184, -0.712498664835584, -0.6312474250400549, -0.5624963759822995, -0.4937453269245442, -0.38126802471961546, -0.31251697566186015, -0.21251544975967046, -0.14376440070191504, -0.04376287479972536, -1.2207217517357094e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05860227359426262, -0.09375906004425116, -0.1093842984664683, -0.14844739452201117, -0.14844739452201117, -0.1562600137331197, -0.1562600137331197, -0.1171969176775769, -0.06641489280537116, -0.05860227359426262, 0.003974975204089404, 0.08333714808880754, 0.11905851834897385, 0.13096055542839702, 0.13096055542839702, 0.13096055542839702, 0.10317387655451282, 0.09523918516823071, 0.08333714808880754, 0.07540245670252532, 0.06746776531624321, 0.06746776531624321, 0.05159838254367899, 0.03969634546425571, 0.03969634546425571, 0.03969634546425571, 0.031746395056076904, -7.629510948348184e-06, -0.003913939116502618, -0.019539177538719754, -0.050789654383154026, -0.06641489280537116, -0.07422751201647976, -0.0820401312275883, -0.10157167925535976, -0.10157167925535976, -0.10157167925535976, -0.06641489280537116, -0.042977035172045486, -0.011726558327611214, -7.629510948348184e-06, 0.01587701228351268, 0.023811703669794793, 0.023811703669794793, -7.629510948348184e-06, -0.011726558327611214, -0.06641489280537116, -0.07422751201647976, -0.07422751201647976, -0.07422751201647976, -0.0820401312275883, -0.0820401312275883, -0.0820401312275883, -0.0820401312275883, -0.02735179674982835, -0.003913939116502618, 0.031746395056076904, 0.08333714808880754, 0.11905851834897385, 0.13096055542839702, 0.13889524681467913, 0.16666666666666663, 0.17460135805294885, 0.18255130846112766, 0.19048599984740977, 0.20238803692683294, 0.21032272831311516, 0.21032272831311516, 0.21032272831311516, 0.17460135805294885, 0.13096055542839702, 0.09523918516823071, 0.031746395056076904, -0.019539177538719754, -0.0820401312275883, -0.1640726329442283, -0.23047989623865112, -0.29687190051117723, -0.3554665445944915, -0.41015487907225145, -0.4531242847333486]","[0.047597500029951334, 0.07289949990808964, 0.08830010006204247, 0.10499479994177818, 0.1216567000374198, 0.1383966002613306, 0.1549857002682984, 0.17170820012688637, 0.18833950022235513, 0.20480220019817352, 0.2209701002575457, 0.23769830027595162, 0.2544758999720216, 0.27118710009381175, 0.28819889994338155, 0.30486360006034374, 0.3214410999789834, 0.3382391002960503, 0.3548205001279712, 0.37150940019637346, 0.38807750027626753, 0.40469150012359023, 0.42104260018095374, 0.4381321002729237, 0.4553396999835968, 0.47203890001401305, 0.4885553000494838, 0.5052436999976635, 0.5220305998809636, 0.5386745003052056, 0.5552841001190245, 0.5719651998952031, 0.5886142998933792, 0.6052137003280222, 0.6219192002899945, 0.638667699880898, 0.655277700163424, 0.6718685002997518, 0.6889188000932336, 0.7053640000522137, 0.7218774002976716, 0.7388792000710964, 0.7553158001974225, 0.7719286000356078, 0.7885624002665281, 0.8053415999747813, 0.8219333998858929, 0.8385495003312826, 0.8553546001203358, 0.8718632999807596, 0.8885734002105892, 0.9051962001249194, 0.9219555999152362, 0.9385776999406517, 0.9552891002967954, 0.9719463000074029, 0.9886058000847697, 1.0052176001481712, 1.0219449000433087, 1.0386697999201715, 1.0615043002180755, 1.0719265001825988, 1.0885560000315309, 1.1054414003156126, 1.1211016001179814, 1.1377214998938143, 1.1545293000526726, 1.1713944002985954, 1.187950000166893, 1.2044150000438094, 1.2211275002919137, 1.2378652999177575, 1.2543787001632154, 1.271103700157255, 1.2876003002747893, 1.3042414002120495, 1.320847500115633, 1.3376378999091685, 1.354423000011593, 1.3712630001828074, 1.3886318001896143, 1.4049881999380887, 1.4209839003160596, 1.4377154000103474, 1.4546555001288652, 1.4713771999813616, 1.4879614003002644, 1.5047320001758635, 1.5215253001078963, 1.5382055002264678, 1.5549126002006233, 1.5715112001635134, 1.5881576999090612, 1.6048306999728084, 1.6215341002680361, 1.6382245002314448, 1.6548199001699686, 1.6715437001548707, 1.6882195002399385, 1.7048038002103567, 1.7215523002669215, 1.7382121998816729, 1.754772299900651, 1.7715890002436936, 1.7881451002322137, 1.8048447999171913, 1.8216631999239326, 1.8378872000612319, 1.854376600123942, 1.8709720000624657, 1.8878414002247155, 1.9044480002485216, 1.9209529999643564, 1.93752419995144, 1.9541692999191582, 1.9710405999794602, 1.987677900120616, 2.0047595999203622, 2.021674800198525, 2.038304000161588, 2.058843200094998, 2.0717802001163363, 2.087666400242597, 2.1042301999405026, 2.1210627001710236, 2.1378016001544893, 2.1547551001422107, 2.171817900147289, 2.1882560001686215, 2.2048062002286315, 2.221041399985552, 2.2376017002388835, 2.254541500005871, 2.27157390024513, 2.2882214998826385, 2.3048861999996006, 2.321522600017488, 2.338314900174737, 2.354830800089985, 2.3715459001250565, 2.3883378002792597, 2.4049216001294553, 2.4210799001157284, 2.437645100057125, 2.4545366000384092, 2.4715265999548137, 2.4881175002083182, 2.5049116001464427, 2.521453599911183, 2.538167000282556, 2.5547425001859665, 2.571531600318849, 2.5882701999507844, 2.604790899902582, 2.621527099981904, 2.6382352001965046, 2.654833700042218, 2.6714524999260902, 2.688121600076556, 2.7049254002049565, 2.721534200012684, 2.738164500333369, 2.754741400014609, 2.771468600258231, 2.788174900226295, 2.8048888999037445, 2.821521299891174, 2.838129200041294, 2.8549057003110647, 2.8715492002665997, 2.8881200002506375, 2.9049530001357198, 2.921482500154525, 2.9382607000879943, 2.954729199875146, 2.9714947999455035, 2.988191599957645, 3.004874300211668, 3.021497600246221, 3.038225300144404]",550667,001,2022-10-18_18h56.54.260,untitled,2022.2.4,59.45826383919902,
