nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trialsTest1_4.thisRepN,trialsTest1_4.thisTrialN,trialsTest1_4.thisN,trialsTest1_4.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,trialsTestImages2_4.thisRepN,trialsTestImages2_4.thisTrialN,trialsTestImages2_4.thisN,trialsTestImages2_4.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,joystick.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,button_resp.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,key_resp_10.started,image_3.started,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_11.started,image_4.started,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_12.started,image_5.started,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,text_9.started,key_resp_15.started,key_resp_15.keys,key_resp_15.rt,key_resp_16.started,image_6.started,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_17.started,image_8.started,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_18.started,image_9.started,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_19.started,image_10.started,key_resp_19.keys,key_resp_19.corr,key_resp_19.rt,key_resp_20.started,text_3.started,key_resp_20.keys,key_resp_20.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0,Images/Tornado 1.jpg,2,2.1274,0.8898286049774505,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.4969601999037,1324.9980125003494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.817004499957,1323.817004499957,2,1,0.6558983996510506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Snake 4.jpg,1,2.4159,0.32476122568777466,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.8975511002354,1326.3980172001757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.9980125003494,1324.9980125003494,1,1,0.8748767995275557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Cold 8.jpg,2,5.5742,0.1876411890461065,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.246659700293,1327.7466271002777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.3980172001757,1326.3980172001757,2,1,0.8264367999508977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Flowers 1.jpg,2,5.8142,0.854176312029122,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.74672870012,1329.2468504002318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.7466271002777,1327.7466271002777,2,1,0.9731654999777675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Lake 3.jpg,2,5.9732,0.8210013894467229,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,14,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.1972333001904,1330.696475900244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.2468504002318,1329.2468504002318,2,1,0.9292924995534122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Sad pose 4.jpg,1,2.8282,0.40245968533442955,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.1966941999272,1332.6968873003498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.696475900244,1330.696475900244,1,1,1.4798729997128248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Bloody knife 1.jpg,2,1.8704,0.2946696303452925,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.830054400023,1334.3294421001337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332.6968873003498,1332.6968873003498,2,1,1.103595099877566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Dog 18.jpg,1,6.1614,0.8732426862078547,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.130313300062,1338.6299204002135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.3294421001337,1334.3294421001337,1,1,3.7745718993246555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Wedding 2.jpg,1,5.7601,0.8807101041649952,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.8472430002876,1340.346534000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338.6299204002135,1338.6299204002135,1,1,1.1945691998116672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
1,0,Images/Mother 1.jpg,1,6.0784,0.07013481274686417,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.1138742999174,1341.6137403999455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.346534000244,1340.346534000244,1,1,0.7494078995659947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangjun,001,A,2022-10-17_14h26.28.579,psychopy,2022.2.4,60.08766788947518,
