trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,joystick.started,grating.started,grating.stopped,joystick.x,joystick.y,joystick.time,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.439169699791819,9.439169699791819,10.445777399931103,[-0.04376287479972536],[-0.05860227359426262],[4.917611900251359],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],047867,001,2022-10-18_18h17.22.153,untitled,2022.2.4,60.018893951941536,
1,0,1,0,14.348066999576986,14.348066999576986,,[-0.04376287479972536],[-0.07032120241092549],[0.04840930039063096],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],047867,001,2022-10-18_18h17.22.153,untitled,2022.2.4,60.018893951941536,
2,0,2,0,14.398354699835181,14.398354699835181,,[-0.056263065537499025],[-0.042977035172045486],[0.06567479996010661],[1],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],047867,001,2022-10-18_18h17.22.153,untitled,2022.2.4,60.018893951941536,
