ImageFile,AnimateInanimate,ValenceScore,Rand,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Images/Frustrated pose 2.jpg,1,2.6481,0.04964889787021731,,,,,,,,,0,4,4,9,,,,,,,,,,,19.788200833951123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.0663954169722274,19.70531629200559,None,19.70531629200559,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Flowers 1.jpg,2,5.8142,0.4043503429350359,,,,,,,,,0,5,5,3,,,,,,,,,,,20.34454670897685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.04116816690657288,20.29351179196965,None,20.29351179196965,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Gun 6.jpg,2,2.9016,0.8898260865812544,,,,,,,,,0,6,6,2,,,,,,,,,,,21.271041124942712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.40173920802772045,20.849246624973603,None,20.849246624973603,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Flowers 9.jpg,2,5.9383,0.79021863287162,,,,,,,,,0,7,7,16,,,,,,,,,,,21.970180416945368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.18364800000563264,21.77061554195825,None,21.77061554195825,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Elephant 1.jpg,1,5.8272,0.04936767057029101,,,,,,,,,0,8,8,0,,,,,,,,,,,22.715890666935593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2289026250364259,22.469717833912,None,22.469717833912,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Couple 8.jpg,1,5.7678,0.251731948819934,,,,,,,,,0,9,9,8,,,,,,,,,,,23.512993249925785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.2809187909588218,23.215375291998498,None,23.215375291998498,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Bridge 1.jpg,2,5.9383,0.9690828349581032,,,,,,,,,0,10,10,10,,,,,,,,,,,24.273299499996938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.24106120795477182,24.01866183395032,None,24.01866183395032,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Garbage dump 3.jpg,2,2.0219,0.24903094943803883,,,,,,,,,0,11,11,12,,,,,,,,,,,25.025166583945975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.22541254200041294,24.778678874950856,None,24.778678874950856,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Car Accident 3.jpg,2,2.7945,0.4099838468273278,,,,,,,,,0,12,12,18,,,,,,,,,,,25.95290362497326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.40153237502090633,25.529412333969958,None,25.529412333969958,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
Images/Hangover 1.jpg,1,2.3921,0.26033231155499936,,,,,,,,,0,13,13,5,,,,,,,,,,,26.926722041913308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.4499777080491185,26.457233833963983,None,26.457233833963983,None,,,,,,,,,001,2022_Jun_03_1457,psychopy,2021.2.3,None,
