key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.4582401659572497,7.250065708067268,None,,,,,,001,2022_Jun_03_1557,psychopy,2021.2.3,None,
,,,,7.250065708067268,None,7.715778665966354,None,,,,,,,
