trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,dots.started,grating.started,noise.started,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,joystick.x_,joystick.y_,joystick.t_,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.20476990006864,9.735883300192654,9.735883300192654,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.5521821998991072,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.549800000153482, 0.5858215996995568, 0.5990528999827802, 0.6159224999137223, 0.6326910997740924, 0.6493950998410583, 0.6663497998379171, 0.6832396001555026, 0.6999079999513924, 0.7165493997745216, 0.7332566999830306, 0.7498709000647068, 0.7664618999697268, 0.7825552001595497, 0.7993708997964859, 0.8161959000863135, 0.8329504998400807, 0.8494962998665869, 0.8662988999858499, 0.8829994997940958, 0.8996075000613928, 0.9162504998967052, 0.9328983998857439, 0.9495528000406921, 0.9664684999734163, 0.9836106998845935, 0.9994560997001827, 1.0159283000975847, 1.0327002997510135, 1.0493981000036001, 1.0666811997070909, 1.0833688001148403, 1.0999424001201987, 1.116781400050968, 1.1333519001491368, 1.1500014001503587, 1.1665491997264326, 1.183223799802363, 1.200012399815023, 1.2166825998574495, 1.2338169999420643, 1.2500920998863876, 1.2665967997163534, 1.2847667001187801, 1.3014170001260936, 1.317906300071627, 1.3327989997342229, 1.3493936997838318, 1.367286799941212, 1.383377999998629, 1.4014451997354627, 1.4169914997182786, 1.4328052001073956, 1.4498298997059464, 1.4659647000953555, 1.4838660000823438, 1.5005884999409318, 1.5168896997347474, 1.53331289999187]",101785,001,2022-10-18_19h00.31.791,untitled,2022.2.4,59.922292792881834,
1,0,1,0,10.716856400016695,11.216414399910718,11.216414399910718,0.4381048294804304,-0.0820401312275883,0,0,0,0,0,0,0,0,0,0,0,3.0496864998713136,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04376287479972536, -0.11251392385748078, -0.14376440070191504, -0.16876478217746246, -0.18751506828412304, -0.21251544975967046, -0.21251544975967046, -0.21251544975967046, -0.16876478217746246, -0.1312642099641413, -0.04376287479972536, 0.05079423208972305, 0.15873044937819483, 0.2857343404287786, 0.45080033569848177, 0.5079301136797131, 0.5079301136797131, 0.5079301136797131, 0.40001831082627604, 0.22858014801251247, 0.0063599603265430465, -0.23751583123521788, -0.4937453269245442, -0.756249332417792, -0.8, -0.8, -0.8, -0.8, -0.6062470435645075, -0.40624399176012815, -0.18751506828412304, 0.10160067139696345, 0.2857343404287786]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02735179674982835, -0.06641489280537116, -0.10157167925535976, -0.07422751201647976, -0.06641489280537116, -0.06641489280537116, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.02735179674982835, -7.629510948348184e-06, 0.05159838254367899, 0.09523918516823071, 0.13096055542839702, 0.15476462958724346, 0.16666666666666663, 0.16666666666666663, 0.16666666666666663, 0.13096055542839702, 0.11112382696269174, 0.06746776531624321, -7.629510948348184e-06, -0.050789654383154026, -0.10157167925535976, -0.14063477531090257, -0.1562600137331197, -0.1562600137331197, -0.1171969176775769]","[0.549800000153482, 0.5858215996995568, 0.5990528999827802, 0.6159224999137223, 0.6326910997740924, 0.6493950998410583, 0.6663497998379171, 0.6832396001555026, 0.6999079999513924, 0.7165493997745216, 0.7332566999830306, 0.7498709000647068, 0.7664618999697268, 0.7825552001595497, 0.7993708997964859, 0.8161959000863135, 0.8329504998400807, 0.8494962998665869, 0.8662988999858499, 0.8829994997940958, 0.8996075000613928, 0.9162504998967052, 0.9328983998857439, 0.9495528000406921, 0.9664684999734163, 0.9836106998845935, 0.9994560997001827, 1.0159283000975847, 1.0327002997510135, 1.0493981000036001, 1.0666811997070909, 1.0833688001148403, 1.0999424001201987, 1.116781400050968, 1.1333519001491368, 1.1500014001503587, 1.1665491997264326, 1.183223799802363, 1.200012399815023, 1.2166825998574495, 1.2338169999420643, 1.2500920998863876, 1.2665967997163534, 1.2847667001187801, 1.3014170001260936, 1.317906300071627, 1.3327989997342229, 1.3493936997838318, 1.367286799941212, 1.383377999998629, 1.4014451997354627, 1.4169914997182786, 1.4328052001073956, 1.4498298997059464, 1.4659647000953555, 1.4838660000823438, 1.5005884999409318, 1.5168896997347474, 1.53331289999187, 2.0498657999560237, 2.066438399720937, 2.0830333000048995, 2.1004138998687267, 2.1172511000186205, 2.133899100124836, 2.1503284997306764, 2.1672422997653484, 2.18389659980312, 2.2006898000836372, 2.217158299870789, 2.2338168998248875, 2.250601999927312, 2.267171499785036, 2.283826000057161, 2.300580400042236, 2.3172226999886334, 2.333702600095421, 2.350637400057167, 2.3672341001220047, 2.38382859993726, 2.4005494001321495, 2.4172760997898877, 2.434352300129831, 2.4505806998349726, 2.4673112998716533, 2.4839929998852313, 2.5004937001504004, 2.517199699766934, 2.533952800091356, 2.5506468997336924, 2.565855300053954, 2.5826175999827683, 2.599321300163865, 2.6160858999937773, 2.6329688001424074, 2.6494502001442015, 2.6661042999476194, 2.6826281999237835, 2.699112799949944, 2.7160483999177814, 2.7328833998180926, 2.750082999933511, 2.76704189972952, 2.7836079001426697, 2.7994258999824524, 2.8157981000840664, 2.8324855999089777, 2.8491421998478472, 2.865950500126928, 2.882488099858165, 2.8994029997847974, 2.9160976000130177, 2.93295479984954, 2.9496554997749627, 2.9664146001450717, 2.982969000004232, 2.999765499960631, 3.0163750001229346, 3.033101299777627]",101785,001,2022-10-18_19h00.31.791,untitled,2022.2.4,59.922292792881834,
2,0,2,0,12.216455500107259,12.71637610020116,12.71637610020116,0.6349340047302969,-0.06641489280537116,0,0,0,0,0,0,0,0,0,0,0,4.549716100096703,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04376287479972536, -0.11251392385748078, -0.14376440070191504, -0.16876478217746246, -0.18751506828412304, -0.21251544975967046, -0.21251544975967046, -0.21251544975967046, -0.16876478217746246, -0.1312642099641413, -0.04376287479972536, 0.05079423208972305, 0.15873044937819483, 0.2857343404287786, 0.45080033569848177, 0.5079301136797131, 0.5079301136797131, 0.5079301136797131, 0.40001831082627604, 0.22858014801251247, 0.0063599603265430465, -0.23751583123521788, -0.4937453269245442, -0.756249332417792, -0.8, -0.8, -0.8, -0.8, -0.6062470435645075, -0.40624399176012815, -0.18751506828412304, 0.10160067139696345, 0.2857343404287786, -0.4249942778667888, -0.18751506828412304, 0.08890516517891207, 0.2857343404287786, 0.4381048294804304, 0.5079301136797131, 0.4381048294804304, 0.3301686121919586, 0.08890516517891207, -0.21251544975967046, -0.5062455176623178, -0.8, -0.8, -0.8, -0.8, -0.756249332417792, -0.5499961852445259, -0.33751735713740755, -0.03126268406195161, 0.15873044937819483, 0.35555962462806134, 0.425409323262379, 0.4825391012436104, 0.38095063706416427, 0.2603189135576409, 0.03175097276264598, -0.16876478217746246, -0.38126802471961546, -0.5749965667200733, -0.674998092622263, -0.712498664835584, -0.6187472343022813, -0.4937453269245442, -0.2937666895551995, -0.056263065537499025, 0.2603189135576409, 0.4127138170443274, 0.5206500343327992, 0.5650843060959793, 0.5206500343327992, 0.46984359502555884, 0.40001831082627604, 0.24127565423056385, 0.0762096589608607, -0.08751354238193337, -0.22501564049744413, -0.3937682154573892, -0.5062455176623178, -0.587496757457847, -0.6187472343022813, -0.6187472343022813, -0.5499961852445259, -0.4624948500801098, -0.3687678339818418, -0.21251544975967046, -0.018762493324177943, 0.14603494316014345, 0.2857343404287786, 0.49523460746166176, 0.5650843060959793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02735179674982835, -0.06641489280537116, -0.10157167925535976, -0.07422751201647976, -0.06641489280537116, -0.06641489280537116, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.05860227359426262, -0.02735179674982835, -7.629510948348184e-06, 0.05159838254367899, 0.09523918516823071, 0.13096055542839702, 0.15476462958724346, 0.16666666666666663, 0.16666666666666663, 0.16666666666666663, 0.13096055542839702, 0.11112382696269174, 0.06746776531624321, -7.629510948348184e-06, -0.050789654383154026, -0.10157167925535976, -0.14063477531090257, -0.1562600137331197, -0.1562600137331197, -0.1171969176775769, -0.03516441596093689, -0.050789654383154026, -0.019539177538719754, -0.003913939116502618, -7.629510948348184e-06, 0.03969634546425571, 0.07540245670252532, 0.09523918516823071, 0.11905851834897385, 0.11905851834897385, 0.11905851834897385, 0.08333714808880754, 0.06746776531624321, 0.05159838254367899, 0.023811703669794793, -7.629510948348184e-06, -0.003913939116502618, -0.011726558327611214, -0.02735179674982835, -0.02735179674982835, -0.02735179674982835, -7.629510948348184e-06, 0.023811703669794793, 0.0595330739299611, 0.07540245670252532, 0.08333714808880754, 0.09523918516823071, 0.09523918516823071, 0.09523918516823071, 0.09523918516823071, 0.0595330739299611, -7.629510948348184e-06, -0.011726558327611214, -0.05860227359426262, -0.0820401312275883, -0.1171969176775769, -0.12500953688868544, -0.14063477531090257, -0.14063477531090257, -0.1093842984664683, -0.0820401312275883, -0.042977035172045486, -7.629510948348184e-06, 0.08333714808880754, 0.14682993820096135, 0.22619211108567938, 0.3055542839703975, 0.3055542839703975, 0.3055542839703975, 0.2619134813458457, 0.19048599984740977, 0.11905851834897385, 0.0595330739299611, -0.003913939116502618, -0.06641489280537116, -0.1093842984664683, -0.14063477531090257, -0.1562600137331197, -0.1562600137331197, -0.1093842984664683]","[0.549800000153482, 0.5858215996995568, 0.5990528999827802, 0.6159224999137223, 0.6326910997740924, 0.6493950998410583, 0.6663497998379171, 0.6832396001555026, 0.6999079999513924, 0.7165493997745216, 0.7332566999830306, 0.7498709000647068, 0.7664618999697268, 0.7825552001595497, 0.7993708997964859, 0.8161959000863135, 0.8329504998400807, 0.8494962998665869, 0.8662988999858499, 0.8829994997940958, 0.8996075000613928, 0.9162504998967052, 0.9328983998857439, 0.9495528000406921, 0.9664684999734163, 0.9836106998845935, 0.9994560997001827, 1.0159283000975847, 1.0327002997510135, 1.0493981000036001, 1.0666811997070909, 1.0833688001148403, 1.0999424001201987, 1.116781400050968, 1.1333519001491368, 1.1500014001503587, 1.1665491997264326, 1.183223799802363, 1.200012399815023, 1.2166825998574495, 1.2338169999420643, 1.2500920998863876, 1.2665967997163534, 1.2847667001187801, 1.3014170001260936, 1.317906300071627, 1.3327989997342229, 1.3493936997838318, 1.367286799941212, 1.383377999998629, 1.4014451997354627, 1.4169914997182786, 1.4328052001073956, 1.4498298997059464, 1.4659647000953555, 1.4838660000823438, 1.5005884999409318, 1.5168896997347474, 1.53331289999187, 2.0498657999560237, 2.066438399720937, 2.0830333000048995, 2.1004138998687267, 2.1172511000186205, 2.133899100124836, 2.1503284997306764, 2.1672422997653484, 2.18389659980312, 2.2006898000836372, 2.217158299870789, 2.2338168998248875, 2.250601999927312, 2.267171499785036, 2.283826000057161, 2.300580400042236, 2.3172226999886334, 2.333702600095421, 2.350637400057167, 2.3672341001220047, 2.38382859993726, 2.4005494001321495, 2.4172760997898877, 2.434352300129831, 2.4505806998349726, 2.4673112998716533, 2.4839929998852313, 2.5004937001504004, 2.517199699766934, 2.533952800091356, 2.5506468997336924, 2.565855300053954, 2.5826175999827683, 2.599321300163865, 2.6160858999937773, 2.6329688001424074, 2.6494502001442015, 2.6661042999476194, 2.6826281999237835, 2.699112799949944, 2.7160483999177814, 2.7328833998180926, 2.750082999933511, 2.76704189972952, 2.7836079001426697, 2.7994258999824524, 2.8157981000840664, 2.8324855999089777, 2.8491421998478472, 2.865950500126928, 2.882488099858165, 2.8994029997847974, 2.9160976000130177, 2.93295479984954, 2.9496554997749627, 2.9664146001450717, 2.982969000004232, 2.999765499960631, 3.0163750001229346, 3.033101299777627, 3.5499494997784495, 3.56639919988811, 3.5830757999792695, 3.599733700044453, 3.616407399997115, 3.6330697000958025, 3.649689699988812, 3.6663258001208305, 3.6831251000985503, 3.6992168999277055, 3.7161342999897897, 3.7326536998152733, 3.7493751998990774, 3.76586510008201, 3.782759199850261, 3.7993514998815954, 3.816251600161195, 3.8328955001197755, 3.8496431997045875, 3.866255700122565, 3.882866299711168, 3.8995161997154355, 3.9162415000610054, 3.9329105000942945, 3.9495946997776628, 3.966240799985826, 3.982906799763441, 3.9996026000007987, 4.016238899901509, 4.032936899922788, 4.049628200009465, 4.066265699919313, 4.082884800154716, 4.099532099906355, 4.11627470003441, 4.132875499781221, 4.149615699891001, 4.166252600029111, 4.182967399712652, 4.199551499914378, 4.216191399842501, 4.23293019970879, 4.24958059983328, 4.2662319000810385, 4.282953499816358, 4.2995969001203775, 4.316331199835986, 4.333026399835944, 4.349753399845213, 4.36635319981724, 4.383022299967706, 4.399682600051165, 4.4163914998061955, 4.432981799822301, 4.44960519997403, 4.4663529000245035, 4.4830525000579655, 4.499673299957067, 4.516340000089258, 4.533065699972212]",101785,001,2022-10-18_19h00.31.791,untitled,2022.2.4,59.922292792881834,
