key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,3.1053669170942158,7.3141504999948665,None,,,,,,001,2022_Jun_03_1556,psychopy,2021.2.3,None,
,,,,7.3141504999948665,None,10.439462541020475,None,,,,,,,
