nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trialsTest1_4.thisRepN,trialsTest1_4.thisTrialN,trialsTest1_4.thisN,trialsTest1_4.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4871308330912143,8.38230937498156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38230937498156,None,8.895436166902073,None,space,0.721828458015807,9.39484545798041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.123264333000407,None,,,,,9.39484545798041,None,space,0.3845682500395924,10.615927750011906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.006535124965012,None,,,,,,,,,,,10.615927750011906,None,space,0.32460762502159923,11.502547250012867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
1,0,Images/Goat 1.jpg,1,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.713053791900165,None,,,,,,,,,,,,,,,,,11.502547250012867,None,12.337374499998987,None,space,0.28795504197478294,12.337374499998987,None,12.667696957942098,None,1,1,1.0228735000127926,12.667696957942098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
1,0,Images/Fire 7.jpg,2,1.7007,0.6719101083569338,0,0,0,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,15.18674866692163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.204133749939501,None,space,0.49372974992729723,14.204133749939501,None,14.75743091700133,None,1,0,0.4066711670020595,14.75743091700133,None,,,,,,,,,,,,,,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
1,0,Images/Elephant 1.jpg,1,5.8272,0.37337377918824577,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,16.367020417004824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.677946332958527,None,space,0.2503379170084372,15.677946332958527,None,1,1,0.37496366701088846,15.976652332930826,None,15.976652332930826,None,,,,,,,,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
1,0,Images/Sleepy pose 1.jpg,1,2.603,0.943587941998371,0,0,0,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,17.533804624923505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.861390749923885,None,space,0.2679810000117868,16.861390749923885,None,,,,,,,,1,1,0.35400954098440707,17.165940832928754,None,17.165940832928754,None,,001,B,2022_Jun_08_2306,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02644037490245,None,space,0.40624600008595735,18.02644037490245,None,,,,,,,,,,,,,,,,,,,,,,
