nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,trialsTestImages2_4.thisRepN,trialsTestImages2_4.thisTrialN,trialsTestImages2_4.thisN,trialsTestImages2_4.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,key_resp.started,WelcomeText.started,key_resp.keys,key_resp.rt,text_2.started,key_resp_2.started,ConsentText.started,key_resp_2.keys,key_resp_2.rt,text_2.stopped,key_resp_3.started,InstructionText.started,key_resp_3.keys,key_resp_3.rt,key_resp_8.started,text_7.started,key_resp_8.keys,key_resp_8.rt,text_8.started,key_resp_13.started,key_resp_13.keys,key_resp_13.rt,key_resp_14.started,image_7.started,key_resp_14.keys,key_resp_14.rt,text_9.started,key_resp_15.started,key_resp_15.keys,key_resp_15.rt,key_resp_16.started,image_6.started,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,key_resp_17.started,image_8.started,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_18.started,image_9.started,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_19.started,image_10.started,key_resp_19.keys,key_resp_19.corr,key_resp_19.rt,text_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,image.started,key_resp_7.started,joystick.started,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,joystick.x,joystick.y,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,joystick.time,text_6.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_2.started,key_resp_9.started,button_resp.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,button_resp.keys,key_resp_10.started,image_3.started,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.51015149988234,11.51015149988234,space,1.1524308999069035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69234130019322,13.192331700120121,13.192331700120121,space,0.294186900369823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.508716400247067,,,,,14.008438200224191,14.008438200224191,14.008438200224191,space,0.28537890035659075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.325173799879849,,,,,14.824676999822259,,,,,14.824676999822259,14.824676999822259,space,0.2929604002274573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Tiger 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.525620500091463,,,,,18.025769600179046,,,,,,,,,15.646152600180358,15.646152600180358,space,0.38436569971963763,16.09289600001648,16.09289600001648,1,1.4096365999430418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Surprise 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35816270019859,,,,,,,,,,,,,,,,,,18.025769600179046,18.025769600179046,1,0.30897130025550723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Fire 7.jpg,1,1.7007,0.2575505223871397,0,0,0,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.64153609983623,,,,,23.143661300186068,,,,,,,,,,,,,,,,,18.859230999834836,18.859230999834836,space,2.794999700039625,21.709143000189215,21.709143000189215,1,1,0.9142271000891924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Birthday 3.jpg,1,5.5506,0.319524409358253,0,0,0,1,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4418195001781,,,,,23.942417799960822,,,,,,,,,,,,,,,,,,,,,23.143661300186068,23.143661300186068,1,1,0.27992930030450225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Elephant 1.jpg,2,5.8272,0.727686106610318,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,25.225613499991596,,,,,25.72528100013733,,,,,,,,,,,,,,,,,,,,,,,,,,23.942417799960822,23.942417799960822,space,0.5519727002829313,24.54234299995005,24.54234299995005,1,0,0.6561099998652935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
0,1,Images/Flowers 6.jpg,1,5.9556,0.947680247901311,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,26.025129499845207,,,,,26.525632599834353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72528100013733,25.72528100013733,1,1,0.2819333001971245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022-10-17_14h06.00.881,psychopy,2022.2.4,60.185636674058266,
