trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,joystick.started,grating.started,grating.stopped,joystick.x,joystick.y,joystick.time,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.926806000061333,8.926806000061333,9.92604809999466,[0.2603189135576409],[-0.003913939116502618],[19.10587020032108],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],017392,001,2022-10-18_18h18.44.225,untitled,2022.2.4,60.03799193918611,
1,0,1,0,28.023732599802315,28.023732599802315,29.023583999834955,[-1.2207217517357094e-05],[-0.003913939116502618],[6.998364400118589],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],017392,001,2022-10-18_18h18.44.225,untitled,2022.2.4,60.03799193918611,
2,0,2,0,35.02373249968514,35.02373249968514,36.02360210008919,[-1.2207217517357094e-05],[-7.629510948348184e-06],[1.9154794001951814],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],017392,001,2022-10-18_18h18.44.225,untitled,2022.2.4,60.03799193918611,
