ImageFile,AnimateInanimate,ValenceScore,Rand,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,1.4086359170032665,6.186587292002514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,6.186587292002514,None,7.609507084009238,None,space,0.7783775830175728,8.103474917006679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,8.899631875101477,None,,,,,8.103474917006679,None,space,0.3885563750518486,9.394486542092636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.394486542092636,None,space,0.5689237500773743,9.793816125020385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,10.374404500005767,None,,,,,,,,,,,,,,,,,9.793816125020385,None,10.870945334085263,None,space,0.5222968750167638,10.870945334085263,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
Images/Goat 1.jpg,1,,,0,0,0,0,,,,,,,,,,,12.599191959016025,None,,,,,,,,,,,,,,,,,,,,,,,,,11.440346209099516,None,1,1,1.1421322079841048,11.440346209099516,None,,,,,,,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094283125014044,None,space,0.8867266660090536,13.094283125014044,None,,,,,,,,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
Images/Fire 7.jpg,2,1.7007,0.6719101083569338,,,,,0,0,0,0,,,,,,,17.72352729202248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.039778042002581,None,1,0,3.6696227500215173,14.039778042002581,None,,001,2022_Jun_03_1505,psychopy,2021.2.3,None,
