key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.5102427080273628,5.91068858304061,None,,,,,,001,2022_Jun_03_1451,psychopy,2021.2.3,None,
,,,,5.91068858304061,None,6.427204250008799,None,,,,,,,
