ImageFile,AnimateInanimate,ValenceScore,Rand,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,0.45607729197945446,6.512692250078544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,6.512692250078544,None,6.988955250009894,None,space,0.22570654202718288,7.4881905419752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,7.737239666981623,None,,,,,7.4881905419752,None,space,0.2193050830392167,8.234597709029913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.234597709029913,None,space,0.4608241249807179,8.46976595907472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,8.940580792026594,None,,,,,,,,,,,,,,,,,8.46976595907472,None,9.432002417044714,None,space,0.30678245797753334,9.432002417044714,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Goat 1.jpg,1,,,0,0,0,0,,,,,,,,,,,10.885879417066462,None,,,,,,,,,,,,,,,,,,,,,,,,,9.778020625002682,None,1,1,1.0892315419623628,9.778020625002682,None,,,,,,,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.377563250018284,None,space,0.8643967909738421,11.377563250018284,None,,,,,,,,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Toilet 4.jpg,2,2.4986,0.898260773201397,,,,,0,0,0,7,,,,,,,14.554511666996405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.300339584005997,None,1,0,2.236801459104754,12.300339584005997,None,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Birthday 3.jpg,2,5.5506,0.46285993459803654,,,,,0,1,1,1,,,,,,,15.34511920902878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.062785500078462,None,2,1,0.2583396249683574,15.062785500078462,None,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Police 5.jpg,1,2.4345,0.07517344267112913,,,,,0,2,2,3,,,,,,,16.054694000049494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84758858405985,None,1,1,0.18230483308434486,15.84758858405985,None,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Neonazi 1.jpg,1,2.0577,0.8848283844025013,,,,,0,3,3,6,,,,,,,16.734483708976768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56503325002268,None,2,0,0.15286795899737626,16.56503325002268,None,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
Images/Fire 7.jpg,2,1.7007,0.6719101083569338,,,,,0,4,4,0,,,,,,,17.35187095904257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.233603792032227,None,1,0,0.09923920792061836,17.233603792032227,None,,001,2022_Jun_03_1446,psychopy,2021.2.3,None,
