trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,joystick.started,grating.started,grating.stopped,joystick.x,joystick.y,joystick.time,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.905373200308532,8.905373200308532,9.913169600069523,[-1.2207217517357094e-05],[-7.629510948348184e-06],[14.85028349980712],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],820518,001,2022-10-18_18h23.20.940,untitled,2022.2.4,60.27858354585192,
1,0,1,0,23.7467479002662,23.7467479002662,24.746686400379986,[-0.04376287479972536],[-7.629510948348184e-06],[3.4151000999845564],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],820518,001,2022-10-18_18h23.20.940,untitled,2022.2.4,60.27858354585192,
2,0,2,0,27.163300300017,27.163300300017,28.163315300364047,[-1.2207217517357094e-05],[-0.02735179674982835],[2.2988137998618186],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],820518,001,2022-10-18_18h23.20.940,untitled,2022.2.4,60.27858354585192,
