trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,joystick.started,grating.started,grating.stopped,joystick.x,joystick.y,joystick.time,joystick.button_0,joystick.button_1,joystick.button_2,joystick.button_3,joystick.button_4,joystick.button_5,joystick.button_6,joystick.button_7,joystick.button_8,joystick.button_9,joystick.button_10,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.649129500146955,8.649129500146955,9.653828899841756,[-0.00626230258640419],[-7.629510948348184e-06],[11.262800099793822],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],533497,001,2022-10-18_18h20.54.136,untitled,2022.2.4,60.03918168658998,
1,0,1,0,19.90396729996428,19.90396729996428,,[-0.018762493324177943],[-7.629510948348184e-06],[0.2151438002474606],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],533497,001,2022-10-18_18h20.54.136,untitled,2022.2.4,60.03918168658998,
2,0,2,0,20.12062820000574,20.12062820000574,,[-0.03126268406195161],[-7.629510948348184e-06],[0.765654900111258],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],533497,001,2022-10-18_18h20.54.136,untitled,2022.2.4,60.03918168658998,
